"sno (N)","city (S)","competition (S)","date (S)","gender (S)","match_referee (S)","season (S)","team0 (S)","team1 (S)","toss_decision (S)","toss_winner (S)","umpire (S)","venue (S)","player_of_match (S)","tv_umpire (S)","winner (S)","match_number (S)","umpire13 (S)","reserve_umpire (S)","winner_wickets (S)","winner_runs (S)","neutralvenue (S)","1 (S)","reserve_umpire13 (S)","outcome (S)"
"251","Jaipur","Indian Premier League","2012/04/08","male","RS Madugalle","2012","Rajasthan Royals","Kolkata Knight Riders","field","Kolkata Knight Riders","BF Bowden","Sawai Mansingh Stadium","BJ Hodge","SK Tarapore","Rajasthan Royals","7","VA Kulkarni","PK Khakhar",,"22",,,,
"187","Chennai","Indian Premier League","2011/04/16","male","Raju Mukherjee","2011","Chennai Super Kings","Royal Challengers Bangalore","bat","Chennai Super Kings","HDPK Dharmasena","MA Chidambaram Stadium","MEK Hussey","K Hariharan","Chennai Super Kings","14","AL Hill","K Srinath",,"21",,,,
"154","Chandigarh","Indian Premier League","2010/04/09","male","D Govindjee","2009/10","Kings XI Punjab","Mumbai Indians","bat","Mumbai Indians","M Erasmus","Punjab Cricket Association Stadium","KC Sangakkara","BF Bowden","Kings XI Punjab","41","AM Saheba","C Shamshuddin","6",,,,,
"7","Hyderabad","Indian Premier League","2008/04/22","male","Talat Ali","2007/08","Deccan Chargers","Delhi Daredevils","bat","Deccan Chargers","IL Howell","Rajiv Gandhi International Stadium","V Sehwag","MR Benson","Delhi Daredevils","7","AM Saheba","C Shamshuddin","9",,,,,
"115","Johannesburg","Indian Premier League","2009/05/24","male","J Srinath","2009","Royal Challengers Bangalore","Deccan Chargers","field","Royal Challengers Bangalore","RE Koertzen","New Wanderers Stadium","A Kumble","DJ Harper","Deccan Chargers",,"SJA Taufel","ZTA Ndamane",,"6","true",,,
"512","Mumbai","Indian Premier League","2016/04/20","male","RS Mahanama","2016","Mumbai Indians","Royal Challengers Bangalore","field","Mumbai Indians","AK Chaudhary","Wankhede Stadium","RG Sharma","A Nand Kishore","Mumbai Indians","14","CK Nandan","R Pandit","6",,,,,
"286","Jaipur","Indian Premier League","2012/05/01","male","Raju Mukherjee","2012","Rajasthan Royals","Delhi Daredevils","bat","Rajasthan Royals","JD Cloete","Sawai Mansingh Stadium","P Negi","S Ravi","Delhi Daredevils","43","SJA Taufel","K Bharatan","6",,,,,
"361","Pune","Indian Premier League","2013/05/02","male","AJ Pycroft","2013","Pune Warriors","Royal Challengers Bangalore","bat","Royal Challengers Bangalore","Aleem Dar","Subrata Roy Sahara Stadium","AB de Villiers","Subroto Das","Royal Challengers Bangalore","46","C Shamshuddin","PG Pathak",,"17",,,,
"380","Ranchi","Indian Premier League","2013/05/15","male","RS Madugalle","2013","Kolkata Knight Riders","Pune Warriors","field","Kolkata Knight Riders","NJ Llong","JSCA International Stadium Complex","MK Pandey","VA Kulkarni","Pune Warriors","65","K Srinath","PK Khakhar",,"7",,,,
"678","Delhi","Indian Premier League","2017/05/04","male","M Nayyar","2017","Delhi Daredevils","Gujarat Lions","field","Delhi Daredevils","M Erasmus","Feroz Shah Kotla","RR Pant","CK Nandan","Delhi Daredevils","42","Nitin Menon","K Srinivasan","7",,,,,
"526","Rajkot","Indian Premier League","2016/05/01","male","M Nayyar","2016","Gujarat Lions","Kings XI Punjab","field","Gujarat Lions","BNJ Oxenford","Saurashtra Cricket Association Stadium","AR Patel","CB Gaffaney","Kings XI Punjab","28","VK Sharma","YC Barde",,"23",,,,
"117","Mumbai","Indian Premier League","2010/03/13","male","AJ Pycroft","2009/10","Mumbai Indians","Rajasthan Royals","bat","Mumbai Indians","RE Koertzen","Brabourne Stadium","YK Pathan","BG Jerling","Mumbai Indians","2","RB Tiffin","VM Bandiwadekar",,"4",,,,
"401","Mumbai","Indian Premier League","2014/05/03","male","RS Madugalle","2014","Mumbai Indians","Kings XI Punjab","bat","Kings XI Punjab","BNJ Oxenford","Wankhede Stadium","CJ Anderson","RM Deshpande","Mumbai Indians","22","C Shamshuddin","R Pandit","5",,,,,
